step,chain_code,first_diff,shape_num
0,5,1,0
1,6,0,0
2,6,0,0
3,6,7,0
4,5,1,0
5,6,0,0
6,6,0,0
7,6,0,0
8,6,0,0
9,6,0,0
10,6,0,1
11,6,0,0
12,6,1,2
13,7,0,1
14,7,7,1
15,6,0,7
16,6,0,0
17,6,0,0
18,6,1,0
19,7,7,0
20,6,1,0
21,7,0,0
22,7,0,0
23,7,7,7
24,6,1,7
25,7,0,1
26,7,0,6
27,7,0,0
28,7,0,0
29,7,0,7
30,7,0,1
31,7,2,0
32,1,7,7
33,0,0,0
34,0,0,1
35,0,7,0
36,7,1,2
37,0,7,2
38,7,0,7
39,7,7,0
40,6,1,1
41,7,7,7
42,6,1,1
43,7,0,0
44,7,1,7
45,0,0,1
46,0,0,7
47,0,0,1
48,0,1,0
49,1,6,7
50,7,0,0
51,7,0,0
52,7,0,0
53,7,0,7
54,7,0,0
55,7,0,7
56,7,1,7
57,0,1,1
58,1,7,1
59,0,0,7
60,0,7,0
61,7,1,0
62,0,7,0
63,7,7,0
64,6,0,0
65,6,0,7
66,6,1,1
67,7,0,7
68,7,0,1
69,7,7,0
70,6,1,7
71,7,7,1
72,6,1,7
73,7,7,1
74,6,1,0
75,7,2,0
76,1,0,1
77,1,0,7
78,1,0,1
79,1,1,1
80,2,7,7
81,1,0,1
82,1,7,7
83,0,7,0
84,7,2,6
85,1,6,0
86,7,1,0
87,0,1,2
88,1,0,7
89,1,0,1
90,1,1,1
91,2,7,0
92,1,0,7
93,1,0,1
94,1,2,0
95,3,7,0
96,2,0,7
97,2,0,0
98,2,0,6
99,2,0,2
100,2,7,7
101,1,7,1
102,0,1,0
103,1,7,1
104,0,1,0
105,1,6,0
106,7,0,7
107,7,7,1
108,6,0,0
109,6,7,0
110,5,1,0
111,6,0,0
112,6,0,0
113,6,7,7
114,5,1,0
115,6,0,7
116,6,7,0
117,5,1,1
118,6,0,7
119,6,0,7
120,6,0,1
121,6,7,1
122,5,1,7
123,6,7,0
124,5,0,7
125,5,0,0
126,5,1,7
127,6,7,0
128,5,7,1
129,4,1,0
130,5,7,7
131,4,0,1
132,4,1,1
133,5,0,0
134,5,7,7
135,4,1,2
136,5,7,7
137,4,1,0
138,5,7,7
139,4,1,1
140,5,7,7
141,4,1,7
142,5,6,1
143,3,1,0
144,4,7,0
145,3,0,7
146,3,0,1
147,3,0,7
148,3,0,0
149,3,7,0
150,2,1,0
151,3,0,0
152,3,7,7
153,2,0,1
154,2,1,0
155,3,7,0
156,2,1,0
157,3,0,0
158,3,2,0
159,5,7,0
160,4,0,0
161,4,1,7
162,5,0,1
163,5,0,0
164,5,1,7
165,6,7,1
166,5,7,7
167,4,1,0
168,5,7,2
169,4,0,1
170,4,7,1
171,3,1,0
172,4,0,1
173,4,7,0
174,3,2,7
175,5,7,1
176,4,1,0
177,5,1,7
178,6,0,1
179,6,0,7
180,6,1,0
181,7,1,6
182,0,7,0
183,7,2,0
184,1,6,7
185,7,1,1
186,0,0,7
187,0,7,1
188,7,2,0
189,1,7,2
190,0,7,0
191,7,0,7
192,7,7,1
193,6,0,2
194,6,7,1
195,5,2,0
196,7,7,7
197,6,1,1
198,7,1,7
199,0,7,7
200,7,2,1
201,1,7,7
202,0,1,1
203,1,6,7
204,7,0,0
205,7,7,1
206,6,1,0
207,7,2,0
208,1,7,6
209,0,7,0
210,7,2,7
211,1,1,1
212,2,0,6
213,2,7,1
214,1,0,7
215,1,0,0
216,1,7,1
217,0,0,7
218,0,1,2
219,1,7,7
220,0,0,0
221,0,0,7
222,0,1,1
223,1,0,7
224,1,7,0
225,0,1,0
226,1,7,0
227,0,7,7
228,7,1,1
229,0,0,0
230,0,0,0
231,0,0,7
232,0,1,1
233,1,7,7
234,0,0,0
235,0,1,0
236,1,1,7
237,2,7,0
238,1,7,1
239,0,1,7
240,1,0,1
241,1,1,0
242,2,7,0
243,1,7,0
244,0,1,0
245,1,0,0
246,1,0,0
247,1,0,0
248,1,0,0
249,1,6,1
250,7,1,1
251,0,7,7
252,7,7,1
253,6,0,0
254,6,7,1
255,5,1,1
256,6,7,0
257,5,0,0
258,5,0,7
259,5,0,1
260,5,6,0
261,3,2,0
262,5,0,0
263,5,0,0
264,5,0,0
265,5,7,0
266,4,1,0
267,5,7,1
268,4,1,0
269,5,0,7
270,5,0,0
271,5,7,0
272,4,1,0
273,5,0,1
274,5,7,7
275,4,1,1
276,5,0,0
277,5,7,0
278,4,1,7
279,5,0,1
280,5,7,0
281,4,1,0
282,5,0,0
283,5,7,0
284,4,1,0
285,5,0,0
286,5,7,2
287,4,1,7
288,5,0,0
289,5,7,0
290,4,1,7
291,5,7,1
292,4,1,7
293,5,0,0
294,5,7,7
295,4,1,1
296,5,0,7
297,5,7,1
298,4,1,0
299,5,0,1
300,5,7,0
301,4,1,0
302,5,0,0
303,5,0,1
304,5,7,6
305,4,1,0
306,5,0,0
307,5,0,0
308,5,0,0
309,5,1,0
310,6,7,0
311,5,0,1
312,5,7,1
313,4,1,7
314,5,6,0
315,3,1,7
316,4,0,1
317,4,1,7
318,5,0,7
319,5,7,0
320,4,1,0
321,5,1,1
322,6,7,0
323,5,0,0
324,5,6,7
325,3,1,1
326,4,7,7
327,3,1,1
328,4,7,7
329,3,1,1
330,4,0,2
331,4,7,0
332,3,1,0
333,4,0,0
334,4,0,1
335,4,0,7
336,4,0,0
337,4,0,7
338,4,0,7
339,4,7,2
340,3,2,6
341,5,7,1
342,4,7,1
343,3,0,0
344,3,7,0
345,2,0,1
346,2,0,7
347,2,0,0
348,2,7,0
349,1,0,2
